protein	rep	Iden	cluster	Phylum	Class	Order	Family	Genus	Species	newPhylum	RefID	diff_zscore
DHFR,folA	GUT_GENOME001635_01071	30.13	Bengtsson-PalmeJ_2015__TRAVELRES40__bin.109|gene_id_1990, GUT_GENOME001635_01071	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter splanchnicus	Bacteroidetes	refID007709	0.416390494802325
DHFR,folA	LiJ_2017__H3M517925__bin.66|gene_id_419	30.16	GUT_GENOME239747_00093, GUT_GENOME172443_00098, LiJ_2017__H3M517925__bin.66|gene_id_419, RampelliS_2015__H26__bin.20|gene_id_417	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	Bacteroidetes	refID314976	-0.0240225285462881
DHFR,folA	GUT_GENOME130046_01129	30.21	GUT_GENOME130046_01129	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000436915	Bacteroidetes	refID099634	-0.616578232688058
DHFR,folA	GUT_GENOME000133_05717	30.22	GUT_GENOME000133_05717, HeQ_2017__RSZAXPI003077-109__bin.16|gene_id_253	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella effluvii	Firmicutes	refID007386	-0.408382985286896
DHFR,folA	GUT_GENOME079077_00148	30.22	GUT_GENOME079077_00148	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000434935	Bacteroidetes	refID010146	0.23221777594745
DHFR,folA	GUT_GENOME066545_00836	30.22	GUT_GENOME066545_00836	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus sp000980705	Firmicutes	refID051249	-0.576540685110912
DHFR,folA	XieH_2016__YSZC12003_37207R1__bin.8|gene_id_1437	30.22	XieH_2016__YSZC12003_37207R1__bin.8|gene_id_1437	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp	Firmicutes	refID086511	-0.248232794978309
DHFR,folA	GUT_GENOME000706_02529	30.22	GUT_GENOME000706_02529	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea formicigenerans	Firmicutes	refID111941	-0.0640600761234347
DHFR,folA	CM_madagascar__A91_01_1FE__bin.4|gene_id_277	30.22	CM_madagascar__A95_01_1FE__bin.10|gene_id_350, GUT_GENOME117621_00419, GUT_GENOME261061_00218, CM_madagascar__A91_01_1FE__bin.4|gene_id_277, CM_madagascar__A27_02_1FE__bin.37|gene_id_1074, RampelliS_2015__H24__bin.41|gene_id_503, VatanenT_2016__G80284__bin.14|gene_id_1418, XieH_2016__YSZC12003_37264__bin.75|gene_id_1493, GUT_GENOME018882_00280, GUT_GENOME000166_00481, GUT_GENOME001297_02377	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp	Firmicutes	refID216945	-0.12011264273144
DHFR,folA	gene_id_3232445	30.22	gene_id_3232445	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	Tyzzerella nexilis	Firmicutes	refID222983	0.0960901141851518
DHFR,folA	Obregon-TitoAJ_2015__NO11__bin.28|gene_id_2612	30.22	GUT_GENOME174465_02418, Obregon-TitoAJ_2015__NO11__bin.28|gene_id_2612	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans	Firmicutes	refID256942	-0.528495628018336
DHFR,folA	GeversD_2014__SKSTL0003__bin.14|gene_id_1253	30.22	GUT_GENOME140235_01643, GeversD_2014__SKSTL0003__bin.14|gene_id_1253	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	Firmicutes	refID318705	0.0480450570925758
DHFR,folA	NielsenHB_2014__V1_UC26_0__bin.55|gene_id_981	30.27	GUT_GENOME137657_00967, NielsenHB_2014__V1_UC26_0__bin.55|gene_id_981	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp An118	Firmicutes	refID006405	-0.864811027666368
DHFR,folA	GUT_GENOME099131_00091	30.27	GUT_GENOME099131_00091	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000435075	Bacteroidetes	refID047300	-0.0800750951542934
DHFR,folA	GUT_GENOME251944_01645	30.27	GUT_GENOME251944_01645	Firmicutes	Clostridia	Oscillospirales	CAG-272	UBA11512	UBA11512 sp003522145	Firmicutes	refID168163	-0.568533175595483
DHFR,folA	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.48|gene_id_1621	30.32	GUT_GENOME096819_00441, Bengtsson-PalmeJ_2015__TRAVELRES60__bin.48|gene_id_1621, GUT_GENOME010373_01543, GeversD_2014__SKBSTL018__bin.28|gene_id_427	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium coprostanoligenes	Firmicutes	refID231677	0.384360456740608
DHFR,folA	GUT_GENOME001189_00491	30.39	BackhedF_2015__SID128_12M__bin.11|gene_id_721, GUT_GENOME001189_00491	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa	Bacteroidetes	refID003270	0.304285361586314
DHFR,folA	GUT_GENOME140106_00276	30.39	GUT_GENOME191958_00308, GUT_GENOME140106_00276	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	Marvinbryantia sp900066075	Firmicutes	refID191978	0.184172718854874
DHFR,folA	BritoIL_2016__M2.50.ST__bin.26|gene_id_708	30.39	GUT_GENOME012681_00711, BritoIL_2016__M2.50.ST__bin.26|gene_id_708	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp CAG 318	Firmicutes	refID257014	0.104097623700581
DHFR,folA	CosteaPI_2017__SID713A023-11-0-0__bin.37|gene_id_1347	30.43	GUT_GENOME022350_01382, GUT_GENOME019034_01211, CosteaPI_2017__SID713A023-11-0-0__bin.37|gene_id_1347, CM_madagascar__A95_01_1FE__bin.5|gene_id_1226	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister succinatiphilus	Firmicutes	refID238791	0.0480450570925759
DHFR,folA	LiJ_2014__MH0377__bin.29|gene_id_2208	30.48	GUT_GENOME001506_02436, GUT_GENOME000295_02613, LiJ_2014__MH0377__bin.29|gene_id_2208, gene_id_3290383, GUT_GENOME015599_01694, QinN_2014__LD-50__bin.1|gene_id_1872	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis CAG 13	Firmicutes	refID243328	-0.400375475771466
DHFR,folA	GUT_GENOME096563_00609	30.52	GUT_GENOME096563_00609	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas synergistica	Bacteroidetes	refID068147	0.680638308811493
DHFR,folA	ZeeviD_2015__PNP_Validation_6__bin.12|gene_id_1488	30.52	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.24|gene_id_2109, ZeeviD_2015__PNP_Validation_6__bin.12|gene_id_1488, GUT_GENOME010023_02012, GUT_GENOME096556_01571	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis	Bacteroidetes	refID169712	-0.112105133216011
DHFR,folA	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.24|gene_id_2109	31.41	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.24|gene_id_2109, ZeeviD_2015__PNP_Validation_6__bin.12|gene_id_1488, GUT_GENOME010023_02012, GUT_GENOME096556_01571	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis	Bacteroidetes	refID169712	-0.112105133216011
DHFR,folA	CosteaPI_2017__pluto4-11-0-0__bin.34|gene_id_1063	30.56	GUT_GENOME113322_01882, GUT_GENOME143211_01228, GUT_GENOME143202_02355, CosteaPI_2017__pluto4-11-0-0__bin.34|gene_id_1063, CosteaPI_2017__SID713A004-11-0-0__bin.33|gene_id_177	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	Verrucomicrobia	refID062500	-0.24022528546288
DHFR,folA	YuJ_2015__SZAXPI015246-34__bin.15|gene_id_1111	30.56	HeQ_2017__SZAXPI029474-42__bin.11|gene_id_906, GUT_GENOME140236_01689, YuJ_2015__SZAXPI015246-34__bin.15|gene_id_1111	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	Firmicutes	refID223906	-0.384360456740608
DHFR,folA	FengQ_2015__SID31416__bin.26|gene_id_2285	30.6	GUT_GENOME000479_02903, FengQ_2015__SID31416__bin.26|gene_id_2285	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp	Firmicutes	refID197345	0.0800750951542932
DHFR,folA	LiJ_2014__MH0369__bin.20|gene_id_1068	30.6	GUT_GENOME283937_00198, LiJ_2014__MH0369__bin.20|gene_id_1068	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Ruminococcus sp	Firmicutes	refID213851	0.584548194626341
DHFR,folA	BackhedF_2015__SID150_B__bin.1|gene_id_1085	30.6	gene_id_2197724, gene_id_4163397, gene_id_4186854, gene_id_4239962, gene_id_3574910, BackhedF_2015__SID546_4M__bin.14|gene_id_2009, gene_id_4160409, gene_id_4165697, GUT_GENOME141586_01116, gene_id_4153024, gene_id_4154970, gene_id_4480485, gene_id_4156472, BackhedF_2015__SID150_B__bin.1|gene_id_1085, GUT_GENOME140713_01098	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	Firmicutes	refID268994	0.12011264273144
DHFR,folA	GUT_GENOME140053_01223	30.6	GUT_GENOME140053_01223	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus avium	Firmicutes	refID296623	-0.0400375475771467
DHFR,folA	GUT_GENOME274363_02120	30.6	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.101|gene_id_2611, GUT_GENOME274363_02120	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp001916965	Firmicutes	refID324783	-0.792743442027504
DHFR,folA	CosteaPI_2017__SID713A004-11-0-0__bin.33|gene_id_177	30.61	GUT_GENOME113322_01882, GUT_GENOME143211_01228, GUT_GENOME143202_02355, CosteaPI_2017__pluto4-11-0-0__bin.34|gene_id_1063, CosteaPI_2017__SID713A004-11-0-0__bin.33|gene_id_177	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	Verrucomicrobia	refID062500	-0.24022528546288
DHFR,folA	CM_madagascar__A55_01_1FE__bin.5|gene_id_2071	30.72	GUT_GENOME045895_01324, CM_madagascar__A55_01_1FE__bin.5|gene_id_2071	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella parvirubra	Proteobacteria	refID140830	-0.264247814009168
DHFR,folA	CM_cf__CF_TNFC003IS_t5M16__bin.10|gene_id_1130	30.72	GUT_GENOME155809_00783, GUT_GENOME226003_01505, CM_cf__CF_TNFC003IS_t5M16__bin.10|gene_id_1130	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	Firmicutes	refID227229	0.648608270749776
DHFR,folA	HeQ_2017__SZAXPI029577-94__bin.48|gene_id_339	30.77	GUT_GENOME000658_00991, HeQ_2017__SZAXPI029577-94__bin.48|gene_id_339	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp CAG 156	Firmicutes	refID093666	-0.512480608987477
DHFR,folA	ChengpingW_2017__AS84raw__bin.5|gene_id_1189	30.77	gene_id_2942963, ChengpingW_2017__AS84raw__bin.5|gene_id_1189, GUT_GENOME095971_00388	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	Bacteroidetes	refID169158	0.440413023348613
DHFR,folA	Bengtsson-PalmeJ_2015__TRAVELRES57__bin.43|gene_id_893	30.77	ZellerG_2014__CCIS44743950ST-4-0__bin.12|gene_id_594, LoombaR_2017__SID1035_bai__bin.7|gene_id_8, GUT_GENOME283609_00576, GUT_GENOME095993_02652, gene_id_3208266, Bengtsson-PalmeJ_2015__TRAVELRES57__bin.43|gene_id_893	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes CAG 19	Firmicutes	refID317374	-0.736690875419498
DHFR,folA	GUT_GENOME057672_01300	30.81	BackhedF_2015__SID577_4M__bin.20|gene_id_1187, GUT_GENOME057672_01300	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella seminalis	Firmicutes	refID165367	-0.0720675856388639
DHFR,folA	QinJ_2012__T2D-081__bin.2|gene_id_251	30.81	GUT_GENOME125804_01789, GUT_GENOME057686_01764, KarlssonFH_2013__S372__bin.31|gene_id_1995, RaymondF_2016__P6C7__bin.29|gene_id_480, LiSS_2016__FAT_008-22-14-0__bin.4|gene_id_2033, QinJ_2012__T2D-081__bin.2|gene_id_251, GUT_GENOME140233_02272, GUT_GENOME096402_00123	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp CAG 50	Firmicutes	refID188767	-0.296277852070885
DHFR,folA	HeQ_2017__SZAXPI029461-129__bin.26|gene_id_2212	30.85	GUT_GENOME096193_02889, HeQ_2017__SZAXPI029461-129__bin.26|gene_id_2212, gene_id_2575916	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus torques CAG 61	Firmicutes	refID011136	-0.24022528546288
DHFR,folA	CM_madagascar__A90_03_1FE__bin.26|gene_id_853	30.87	CM_madagascar__A90_03_1FE__bin.26|gene_id_853	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp An188	Actinobacteria	refID001005	0.616578232688058
DHFR,folA	GUT_GENOME096538_00785	30.92	HeQ_2017__RSZAXPI003107-147__bin.23|gene_id_1991, GUT_GENOME096538_00785	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium	Clostridium sp001517625	Firmicutes	refID217351	1.24917148440698
DHFR,folA	GUT_GENOME142545_01026	30.93	BackhedF_2015__SID18_B__bin.7|gene_id_1205, gene_id_3316670, GUT_GENOME142545_01026	Actinobacteriota	Actinobacteria	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum	Actinobacteria	refID192156	-0.096090114185152
DHFR,folA	BackhedF_2015__SID608_B__bin.4|gene_id_1166	30.94	gene_id_1041455, BackhedF_2015__SID608_B__bin.4|gene_id_1166, GUT_GENOME142391_00054, gene_id_2903126, gene_id_42878	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium perfringens	Firmicutes	refID017985	0.656615780265205
DHFR,folA	HMP_2012__SRS014923__bin.36|gene_id_1679	30.94	HMP_2012__SRS014923__bin.36|gene_id_1679, GUT_GENOME100857_01668	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae	Eubacterium sp	Firmicutes	refID018301	-0.520488118502906
DHFR,folA	VincentC_2016__MM091.3__bin.14|gene_id_679	30.94	GUT_GENOME142485_01032, VincentC_2016__MM091.3__bin.14|gene_id_679, gene_id_954905	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	Firmicutes	refID077001	0.248232794978309
DHFR,folA	BackhedF_2015__SID507_12M__bin.30|gene_id_360	30.94	GUT_GENOME096375_01664, BackhedF_2015__SID507_12M__bin.30|gene_id_360	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae	Lachnospiraceae bacterium 9 1 43BFAA	Firmicutes	refID285692	-0.232217775947451
DHFR,folA	HMP_2012__SRS042628__bin.29|gene_id_717	30.94	GUT_GENOME215504_00690, HMP_2012__SRS042628__bin.29|gene_id_717	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	Bacteroidetes	refID287632	-0.160150190308587
DHFR,folA	GUT_GENOME167947_00843	30.95	GUT_GENOME167947_00843	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus pentosus	Firmicutes	refID173483	0.024022528546288
DHFR,folA	XieH_2016__YSZC12003_35387__bin.42|gene_id_94	30.97	GUT_GENOME096222_00200, XieH_2016__YSZC12003_35387__bin.42|gene_id_94	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes indistinctus	Bacteroidetes	refID187030	-0.592555704141771
DHFR,folA	XieH_2016__YSZC12003_37138__bin.84|gene_id_954	30.98	GUT_GENOME096496_01361, XieH_2016__YSZC12003_37138__bin.84|gene_id_954	Firmicutes	Clostridia	Clostridiales	Clostridiales	Pseudoflavonifractor	Pseudoflavonifractor sp An184	Firmicutes	refID135666	-0.632593251718917
DHFR,folA	XieH_2016__YSZC12003_37137__bin.61|gene_id_162	30.98	GUT_GENOME239799_00557, XieH_2016__YSZC12003_37137__bin.61|gene_id_162	Firmicutes	Firmicutes	Firmicutes	Firmicutes	Firmicutes	Firmicutes bacterium CAG 24	Firmicutes	refID239832	-0.192180228370304
DHFR,folA	XieH_2016__YSZC12003_37269__bin.58|gene_id_2430	31.01	GUT_GENOME122359_00958, Bengtsson-PalmeJ_2015__TRAVELRES38__bin.35|gene_id_1325, GUT_GENOME000655_04113, GUT_GENOME000192_01677, gene_id_2634784, GUT_GENOME258721_02499, XieH_2016__YSZC12003_37269__bin.58|gene_id_2430, YuJ_2015__SZAXPI015254-45__bin.19|gene_id_1704, XieH_2016__YSZC12003_37399__bin.51|gene_id_2532, XieH_2016__YSZC12003_35549__bin.33|gene_id_677, GeversD_2014__SKBSTL023__bin.14|gene_id_1558, GUT_GENOME263189_01723, LiJ_2014__V1.UC59-0__bin.52|gene_id_920, GUT_GENOME251721_00682, gene_id_3285761	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae CAG 48	Bacteroidetes	refID002694	0.83278098960465
DHFR,folA	GUT_GENOME000483_04985	31.01	gene_id_4843003, GUT_GENOME000483_04985	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella grimontii	Proteobacteria	refID101009	0.47244306141033
DHFR,folA	GUT_GENOME096217_00510	31.02	GUT_GENOME096217_00510	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella tanakaei	Actinobacteria	refID039050	-0.624585742203488
DHFR,folA	HMP_2012__SRS014979__bin.12|gene_id_802	31.08	GUT_GENOME100879_00785, HMP_2012__SRS014979__bin.12|gene_id_802	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium eligens CAG 72	Firmicutes	refID295928	-0.36033792819432
DHFR,folA	GUT_GENOME095994_00209	31.13	LiJ_2017__H1M313811__bin.38|gene_id_929, GUT_GENOME095994_00209, gene_id_3222651	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida	Firmicutes	refID226991	-0.784735932512075
DHFR,folA	FerrettiP_2018__CA_C10023IS2393FE_t2M15__bin.4|gene_id_2459	31.14	GUT_GENOME143131_00786, gene_id_1285981, FerrettiP_2018__CA_C10023IS2393FE_t2M15__bin.4|gene_id_2459, gene_id_5021647, gene_id_2174445, gene_id_5043232, gene_id_3344484, gene_id_2163103	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	Bacteroidetes	refID182022	-0.0640600761234346
DHFR,folA	RampelliS_2015__H15__bin.4|gene_id_1504	31.15	GUT_GENOME172376_00887, RampelliS_2015__H15__bin.4|gene_id_1504	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	Bacteroidetes	refID014813	-0.192180228370304
DHFR,folA	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.102|gene_id_230	31.15	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.102|gene_id_230, GUT_GENOME155959_00231	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp CAG 230	Firmicutes	refID126050	0.0160150190308587
DHFR,folA	FengQ_2015__SID530451__bin.4|gene_id_986	31.15	GUT_GENOME094099_00999, FengQ_2015__SID530451__bin.4|gene_id_986	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp P5 60	Bacteroidetes	refID212530	0.152142680793157
DHFR,folA	BackhedF_2015__SID343_M__bin.20|gene_id_2292	31.15	GUT_GENOME140320_01743, ZeeviD_2015__PNP_Main_294__bin.63|gene_id_800, GUT_GENOME032966_00930, VogtmannE_2016__MMRS15137911ST-27-0-0__bin.41|gene_id_1690, FengQ_2015__SID530251__bin.9|gene_id_600, GUT_GENOME244589_01661, HeQ_2017__RSZAXPI003079-113__bin.48|gene_id_1002, GUT_GENOME190811_01413, GUT_GENOME194547_00262, LiJ_2014__V1.CD32-0__bin.44|gene_id_1544, LiJ_2014__O2.UC41-1__bin.64|gene_id_1193, GUT_GENOME208213_01003, FengQ_2015__SID31160__bin.23|gene_id_2177, GUT_GENOME001598_03015, GUT_GENOME093605_00592, BackhedF_2015__SID343_M__bin.20|gene_id_2292, GUT_GENOME000906_02657	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp CAG 237	Firmicutes	refID227624	0.0960901141851518
DHFR,folA	GUT_GENOME121462_00813	31.15	BackhedF_2015__SID608_M__bin.18|gene_id_787, GUT_GENOME121462_00813	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium	Eubacterium sp000431535	Firmicutes	refID310756	0.264247814009168
DHFR,folA	LeChatelierE_2013__MH0435__bin.22|gene_id_446	31.15	BackhedF_2015__SID590_4M__bin.7|gene_id_526, HeQ_2017__SZAXPI029473-40__bin.36|gene_id_2292, NielsenHB_2014__V1_UC16_0__bin.12|gene_id_1342, KarlssonFH_2013__S479__bin.43|gene_id_1675, gene_id_2110282, HeQ_2017__SZAXPI029500-102__bin.6|gene_id_931, GUT_GENOME052918_00621, GUT_GENOME001270_01341, GUT_GENOME096067_00231, GUT_GENOME001147_01207, CosteaPI_2017__halbarad-11-392-0__bin.50|gene_id_669, ZellerG_2014__CCMD86707194ST-21-0__bin.2|gene_id_1580, GUT_GENOME140411_00697, LeChatelierE_2013__MH0435__bin.22|gene_id_446	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp CAG 9	Firmicutes	refID320873	-0.320300380617173
DHFR,folA	GUT_GENOME001046_03183	31.17	GUT_GENOME001046_03183	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania filiformis	Firmicutes	refID051675	-0.568533175595483
DHFR,folA	XieH_2016__YSZC12003_37829__bin.19|gene_id_752	31.17	XieH_2016__YSZC12003_37829__bin.19|gene_id_752	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes	Proteobacteria	refID150637	-0.0320300380617173
DHFR,folA	Obregon-TitoAJ_2015__SM37__bin.19|gene_id_840	31.17	GUT_GENOME235884_01270, Obregon-TitoAJ_2015__SM37__bin.19|gene_id_840	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp CAG 349	Firmicutes	refID236501	0.0560525666080052
DHFR,folA	HeQ_2017__SZAXPI029598-166__bin.7|gene_id_1326	31.18	YuJ_2015__SZAXPI015266-89__bin.30|gene_id_1068, gene_id_3524440, HeQ_2017__SZAXPI029598-166__bin.7|gene_id_1326, GUT_GENOME001770_03045	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans CAG 15	Firmicutes	refID146536	0.144135171277728
